date,object_time,complete_time,completion_rate
0,13,70,5.38
1,16,97,6.06
2,62,97,1.56
3,40,64,1.6
4,19,35,1.84
5,54,36,0.67
6,64,92,1.44
7,89,90,1.01
8,50,65,1.3
9,3,36,12.0
10,100,32,0.32
11,45,0,0.0
12,18,96,5.33
13,57,19,0.33
14,76,48,0.63
15,60,41,0.68
16,11,63,5.73
17,96,95,0.99
18,64,2,0.03
19,58,78,1.34
20,90,82,0.91
21,69,32,0.46
22,56,92,1.64
23,36,14,0.39
24,52,69,1.33
25,85,80,0.94
26,20,88,4.4
27,83,50,0.6
28,23,44,1.91
29,7,31,4.43
30,10,22,2.2
31,43,46,1.07
32,29,10,0.34
33,17,56,3.29
34,19,7,0.37
35,1,90,90.0
36,82,29,0.35
37,82,23,0.28
38,65,75,1.15
39,17,93,5.47
40,61,53,0.87
41,92,94,1.02
42,71,99,1.39
43,90,74,0.82
44,8,70,8.75
45,12,40,3.33
46,49,42,0.86
47,62,53,0.85
48,7,78,11.14
49,57,56,0.98
50,23,12,0.52
51,4,51,12.75
52,39,11,0.28
53,76,99,1.3
54,76,35,0.46
55,89,89,1.0
56,25,99,3.96
57,90,30,0.33
58,54,25,0.46
59,4,2,0.5
60,69,11,0.16
61,70,3,0.04
62,18,39,2.17
63,39,83,2.13
64,67,64,0.96
65,81,25,0.31
66,93,59,0.63
67,71,4,0.06
68,1,89,89.0
69,77,61,0.79
70,2,92,46.0
71,45,57,1.27
72,85,78,0.92
73,94,79,0.84
74,99,57,0.58
75,36,81,2.25
76,55,84,1.53
77,45,30,0.67
78,70,25,0.36
79,8,20,2.5
80,68,42,0.62
81,6,36,6.0
82,88,50,0.57
83,96,4,0.04
84,86,10,0.12
85,55,66,1.2
86,69,98,1.42
87,20,60,3.0
88,90,52,0.58
89,26,1,0.04
90,46,12,0.26
91,64,4,0.06
92,40,31,0.78
93,4,53,13.25
94,64,5,0.08
95,93,78,0.84
96,18,60,3.33
97,6,25,4.17
98,83,81,0.98
99,48,62,1.29
100,7,79,11.29
101,6,24,4.0
102,38,85,2.24
103,98,13,0.13
104,7,12,1.71
105,67,64,0.96
106,58,50,0.86
107,57,24,0.42
108,10,89,8.9
109,64,78,1.22
110,23,75,3.26
111,96,72,0.75
112,79,100,1.27
113,81,25,0.31
114,73,50,0.68
115,31,92,2.97
116,79,67,0.85
117,57,67,1.18
118,89,57,0.64
119,80,49,0.61
120,2,45,22.5
121,48,47,0.98
122,8,19,2.38
123,48,6,0.12
124,60,39,0.65
125,97,49,0.51
126,76,42,0.55
127,97,36,0.37
128,36,68,1.89
129,83,2,0.02
130,32,21,0.66
131,16,74,4.62
132,56,40,0.71
133,25,27,1.08
134,9,38,4.22
135,92,32,0.35
136,39,99,2.54
137,54,91,1.69
138,61,16,0.26
139,48,61,1.27
140,60,93,1.55
141,48,98,2.04
142,8,82,10.25
143,53,77,1.45
144,42,78,1.86
145,57,60,1.05
146,51,77,1.51
147,91,27,0.3
148,68,58,0.85
149,64,65,1.02
150,83,82,0.99
151,23,26,1.13
152,18,71,3.94
153,9,12,1.33
154,100,49,0.49
155,14,79,5.64
156,91,52,0.57
157,29,44,1.52
158,90,73,0.81
159,50,15,0.3
160,95,39,0.41
161,42,23,0.55
162,54,16,0.3
163,67,14,0.21
164,87,39,0.45
165,5,70,14.0
166,3,58,19.33
167,95,29,0.31
168,13,89,6.85
169,64,68,1.06
170,98,4,0.04
171,80,3,0.04
172,50,99,1.98
173,7,31,4.43
174,52,20,0.38
175,15,56,3.73
176,13,28,2.15
177,27,21,0.78
178,45,26,0.58
179,29,26,0.9
180,31,93,3.0
181,57,50,0.88
182,26,31,1.19
183,83,57,0.69
184,17,3,0.18
185,47,63,1.34
186,87,88,1.01
187,82,23,0.28
188,27,0,0.0
189,93,31,0.33
190,83,14,0.17
191,12,82,6.83
192,47,69,1.47
193,33,15,0.45
194,77,49,0.64
195,55,80,1.45
196,42,4,0.1
197,81,26,0.32
198,100,92,0.92
199,51,13,0.25
200,44,14,0.32
201,72,55,0.76
202,10,11,1.1
203,60,58,0.97
204,9,85,9.44
205,27,56,2.07
206,68,0,0.0
207,73,6,0.08
208,55,85,1.55
209,49,70,1.43
210,69,18,0.26
211,5,96,19.2
212,100,45,0.45
213,90,34,0.38
214,90,66,0.73
215,36,5,0.14
216,50,27,0.54
217,86,39,0.45
218,92,55,0.6
219,95,30,0.32
220,37,18,0.49
221,40,74,1.85
222,59,74,1.25
223,31,3,0.1
224,94,76,0.81
225,39,54,1.38
226,9,41,4.56
227,26,35,1.35
228,99,26,0.26
229,15,34,2.27
230,12,77,6.42
231,20,12,0.6
232,17,0,0.0
233,75,33,0.44
234,59,88,1.49
235,24,5,0.21
236,63,61,0.97
237,80,11,0.14
238,37,93,2.51
239,33,40,1.21
240,97,38,0.39
241,61,49,0.8
242,93,22,0.24
243,94,79,0.84
244,34,96,2.82
245,32,22,0.69
246,92,14,0.15
247,66,75,1.14
248,74,94,1.27
249,15,40,2.67
250,70,79,1.13
251,87,42,0.48
252,72,7,0.1
253,62,90,1.45
254,63,26,0.41
255,62,99,1.6
256,47,14,0.3
257,31,100,3.23
258,1,24,24.0
259,22,62,2.82
260,19,89,4.68
261,36,80,2.22
262,17,87,5.12
263,67,33,0.49
264,14,24,1.71
265,22,80,3.64
266,2,2,1.0
267,9,37,4.11
268,3,33,11.0
269,61,67,1.1
270,70,35,0.5
271,54,17,0.31
272,59,6,0.1
273,100,36,0.36
274,26,56,2.15
275,57,26,0.46
276,79,18,0.23
277,24,1,0.04
278,49,46,0.94
279,62,41,0.66
280,76,75,0.99
281,23,85,3.7
282,53,22,0.42
283,34,49,1.44
284,31,84,2.71
285,13,55,4.23
286,16,78,4.88
287,35,8,0.23
288,12,79,6.58
289,31,12,0.39
290,42,30,0.71
291,83,58,0.7
292,89,8,0.09
293,4,4,1.0
294,64,59,0.92
295,86,41,0.48
296,37,91,2.46
297,50,54,1.08
298,12,85,7.08
299,38,50,1.32
300,40,93,2.33
301,95,24,0.25
302,55,67,1.22
303,35,28,0.8
304,54,10,0.19
305,96,72,0.75
306,71,86,1.21
307,1,32,32.0
308,26,51,1.96
309,43,82,1.91
310,5,55,11.0
311,73,22,0.3
312,27,87,3.22
313,22,59,2.68
314,42,35,0.83
315,3,94,31.33
316,14,71,5.07
317,96,67,0.7
318,74,100,1.35
319,66,67,1.02
320,86,26,0.3
321,40,46,1.15
322,4,11,2.75
323,72,31,0.43
324,13,7,0.54
325,7,61,8.71
326,25,85,3.4
327,87,1,0.01
328,39,16,0.41
329,79,44,0.56
330,99,54,0.55
331,81,61,0.75
332,60,68,1.13
333,83,61,0.73
334,24,13,0.54
335,70,90,1.29
336,25,31,1.24
337,60,12,0.2
338,59,3,0.05
339,66,18,0.27
340,57,6,0.11
341,42,96,2.29
342,42,22,0.52
343,94,68,0.72
344,60,56,0.93
345,53,39,0.74
346,24,90,3.75
347,100,34,0.34
348,37,9,0.24
349,43,89,2.07
350,84,28,0.33
351,8,100,12.5
352,30,25,0.83
353,55,66,1.2
354,76,72,0.95
355,3,65,21.67
356,73,32,0.44
357,49,23,0.47
358,5,97,19.4
359,24,33,1.38
360,49,67,1.37
361,96,19,0.2
362,99,78,0.79
363,62,15,0.24
364,33,74,2.24
365,44,57,1.3
366,81,71,0.88
367,75,7,0.09
368,44,42,0.95
369,35,15,0.43
370,9,67,7.44
371,33,58,1.76
372,37,49,1.32
373,3,24,8.0
374,64,96,1.5
