date,completion_rate
0,0.38
1,0.72
2,1.72
3,1.49
4,0.74
5,0.24
6,0.96
7,0.57
8,1.38
9,0.92
10,1.27
11,1.82
12,1.38
13,0.92
14,0.05
15,1.38
16,1.1
17,0.64
18,1.2
19,2.0
20,0.81
21,1.38
22,0.43
23,0.51
24,0.15
25,1.38
26,0.06
27,0.54
28,0.97
29,0.94
30,1.56
31,0.76
32,0.3
33,0.09
34,0.33
35,1.62
36,0.18
37,0.21
38,0.62
39,1.61
40,1.66
41,1.06
42,0.19
43,1.17
44,1.74
45,1.64
46,0.91
47,1.63
48,0.12
49,0.83
50,0.27
51,1.21
52,0.56
53,0.43
54,0.23
55,1.45
56,1.49
57,1.03
58,1.44
59,0.97
60,0.76
61,0.32
62,0.88
63,0.51
64,1.61
65,0.28
66,1.13
67,1.96
68,0.84
69,1.82
70,0.22
71,1.25
72,0.17
73,1.98
74,1.08
75,1.37
76,0.37
77,1.87
78,0.92
79,0.18
80,1.08
81,0.28
82,0.75
83,0.63
84,0.95
85,1.76
86,0.98
87,0.22
88,1.41
89,0.05
90,0.77
91,0.89
92,1.04
93,1.39
94,0.83
95,1.39
96,1.76
97,0.29
98,1.49
99,1.49
